Group,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O
MA05_Biot_1,36.1400,3.1700,14.6400,24.3900,0.2647,8.2300,0.0702,0.0487,9.5700
MA05_Biot_2,35.8800,2.7200,14.9600,23.8500,0.2675,8.6200,0.0481,0.0662,9.5800
MA05_Biot_3,35.4100,2.8300,14.7600,25.5600,0.2713,7.4600,0.0725,0.0585,9.4800
MA05_Biot_4,35.3200,2.6000,14.6800,24.7000,0.2516,8.0500,0.0523,0.0523,9.7600
MA05_Biot_5,35.5100,2.5900,14.5300,24.6400,0.2674,8.4400,0.0654,0.0613,9.5100
MA05_Biot_6,35.8600,3.0900,14.4100,25.0400,0.2689,8.1100,0.0497,0.0696,9.5300
MA05_Biot_7,35.6000,3.0000,14.8300,25.4200,0.3044,7.7400,0.0210,0.0449,9.5700
MA05_Biot_8,35.6000,2.8300,15.1100,25.7400,0.3050,7.5000,0.0595,0.0491,9.6100
MA05_Biot_9,35.3800,2.8000,14.6900,25.3800,0.3337,7.5800,0.0711,0.0687,9.5500
